CountryEnglish,ISO3v10,ContinentName,Continent,CountryCode,CountryCodeLong,UNRegion,ISO2,UNSDCode,Resolution,PopulationPerUnit,Area,LevelUsed,Level1Type,Level2Type,Level3Type,Level4Type,Level5Type,NumUnits,RefYearFirst,RefYearLast,P90E ('000),P95E ('000),P00E  ('000),UN_P90 ('000),UN_P95 ('000),UN_P00 ('000),Diff90,Diff00,Source Data: Boundaries,Source Data: Population,Edits and Notes: Spatial,Edits and Notes: Population,Num Settlement Points,Largest Point (pop),Smallest Point (pop),Mean Point (pop),Urban Criteria (UN),Num Urban Extents,Largest Extent (sq.km),Smallest Extent (sq.km),Mean Extent (sq.km),Sum-All Urban Extents (sq.km),Largest Extent (pop),Smallest Extent (pop),Mean Extent (pop),Sum-All Urban Extents (pop),Pct Total Land Area in Urban Extents (sq.km),"Pct Total Population in Urban Extents (2000,NSO est.)","Pct Total Population that is urban (2000,UN)",Num UE's from Nighttime Lights ,Num UE's from Regressions,Num UE's from DCW ,Num UE's from other sources,Settlement Point Population Source,Settlement Point Coordinate Source
Angola,AGO,Africa,1,30,3005,Middle Africa,AO,24,264,763,"1,251,924",1,Provincia,Municipio,,,,18, ,1970,"10,002","11,851","13,728","9,570","11,339","13,134",-4.51,-4.52,UNEP/GRID-WRI-NCGIA Africa Population Database: http://grid2.cr.usgs.gov,"Instituto Nacional de Estatistica (1987), Boletim Demografico No. 4, Projeccao da populacao do pais por provincias para o perodo 1970/95.",,"The last Angolan census was carried out in 1970. All population data published in the Statistical Yearbooks and other publications (e.g., the Economist's Intelligence Unit Report) are estimates that were produced by the National Statistics Institute, in 1987, based on the 1970 data. Due to civil war, considerable displacement of people has taken place since the 1970 census. Thus, population figures should be interpreted with caution. The base year population use here was 1990 projected population from the INE publication in 1987 and were extrapolated to 1995 and 2000 using growth rates derived from United Nations national level estimates and projections. ",8,"2,503,503","76,053","539,394.25","Localities with a population of 2,000 or more.",6,556,17,170.91,"1,025","1,989,406","204,812","698,129.67","4,188,778",0.08,30.51,34.90,4,1,1,0,"AFCities (provided by Uwe Deichman, World Bank); World Gazetteer, www.gazetteer.de",AFCities; NIMA
Burundi,BDI,Africa,1,104,10405,Eastern Africa,BI,108,15,58,"25,227",2,Province,Commune,,,,114,1990,1999,"5,356","5,937","6,624","5,636","6,079","6,356",4.96,-4.22,"UNEP/GRID-WRI-NCGIA Africa Population Database, http://grid2.cr.usgs.gov .","1999 - ISTEEBU, Bujumbura, Burundi: http://www.burundi-contacts.com/pays .",,"9 population units were consolidated to match to the shapefile single unit: Nyabigina (Buj) /Bujumbura.  These are: Buyenzi (36,782), Bwiza (35425), Cibitoke (47,061), Kamenge (55,653), Kinama (33,858), Musaga (39,337), Ngagara (19762), Nyakabiga (21,229), and Rohero (29,991).    ",15,"397,148","4,887","51,403.07",Commune of Bujumbura.,15,138,17,37.70,566,"225,924","5,630","37,623.73","564,356",2.24,8.52,9.30,1,14,0,0,"AFCities (provided by Uwe Deichman, World Bank); World Gazetteer, www.gazetteer.de",AFCities; World Gazetteer
Benin,BEN,Africa,1,63,6305,Western Africa,BJ,204,39,80,"115,828",2,Province,District,,,,78, ,1992,"4,608","5,437","6,209","4,655","5,492","6,272",1.00,1.00,"UNEP/GRID-WRI-NCGIA Africa Population Database, http://grid2.cr.usgs.gov .","Institut National de la Staistique et de L'analyse Economique, Bureau Central du Recensement, Republique du Benin February 1992. Deuxieme Recensement General de la Population et de L'Habitation du Benin. Available at: http://www.afrikinfo.com/lois/gouvern .","The Athieme District (administrative 2 level , in the Mono Province (administrative 1 level), was split to form Athieme District and Lokossa District.  The division was based on a map found at: http://www.uni-hohenheim.de/~atlas308/c_benin/projects/c1_1/html/english/bframe_en_c1_1b.htm . Population was estimated for the two newly created units based on their relative distributions in 1992.","Population data were extrapolated to target years of 1990, 1995 and 2000 using growth rates derived from United Nations national level estimates and projections.",38,"781,469","1,416","61,633.82"," Localities with 10,000 inhabitants or more.",36,195,7,39.82,"1,433","966,152","6,406","66,937.86","2,409,763",1.24,38.81,43.00,8,28,0,0,"AFCities (provided by Uwe Deichman, World Bank); City Population, http://www.citypopulation.de",AFCities; Columbia Gazetteer; NIMA; Times Atlas of the World 1999
Burkina Faso,BFA,Africa,1,96,9605,Western Africa,BF,854,28,33,"275,747",2,Province,Department,,,,353,1985,1996,"8,654","9,987","11,576","9,008","10,270","11,535",3.94,-0.35,"Module de Consultation des Donnees de la Base de Donnees sur les Localites de Burkina (MConBDLB) (Version 2.0, Janvier 2001), a CD produced by the Programme National de Gestion des Terroirs.","Module de Consultation des Donnees de la Base de Donnees sur les Localites de Burkina (MConBDLB) Version 2.0, Janvier 2001 (Module for the Consulation of the Burkina Faso localities database, Version 2.0, January 2001). Produced by the Programme National de Gestion des Terroirs (National Land Management Program). Available on CD-ROM.",The spatial boundaries were aggregated from 353 to 20 units for the calculation of a 1990-1996 population growth rate.,"A population growth rate between 1990 and 1996 was calculated via an aggregation of the spatial and population data to 20 units.  This growth rate was applied to the departments (administrative level 2) in order to extrapolate to the target years of 1990, 1995, and 2000.",205,"892,916","6,701","21,582.30",Fourteen towns.,93,370,20,32.24,"2,999","772,535","5,021","15,628.74","1,453,473",1.09,12.56,16.90,8,85,0,0,"BKFPopts (provided by Uwe Deichman, World Bank); City Population, http://www.citypopulation.de; World Gazetteer, www.gazetteer.de",BKPopts (provided by Uwe Deichman; World Bank); NIMA; World Gazetteer
Botswana,BWA,Africa,1,74,7405,Southern Africa,BW,72,156,69,"559,502",2,Region,Census District,,,,23,1991,2001,"1,255","1,431","1,591","1,240","1,422","1,541",-1.22,-3.25,"UNEP/GRID-WRI-NCGIA Africa Population Database, http://grid2.cr.usgs.gov .","Central Statistics Office, Republic of Botswana: 2001 Population and Housing Census, http://www.cso.gov.bw/cso/census_2k.html 
Botswana Census of 1991, Digital file obtained through the Software Development Project, UN Statistics Division and Botswana Village Populations 1971, 81 and 91, Digital file obtained through the UNSD POPMAP project (contains district populations).","(1) Tuli district was merged with 3 districts: Palapye, Machaneng, and Bobonong.  The population 1990 data for Tuli was split equally 3 ways and added to each district's population 1990 total. P00 data for Tuli region is assumed to be part of those three districts. 
(2) 2000 data for Kgalagadi South was split and distributed to 2 districts, Tshabong and Gemsbok, in proportion to their population 1990 estimates. 2000 data for Kgalagadi North was assigned to Hukunsti district. 
(3) The population 2000 figure for South East district was created by adding 2000 data for South East and Lobatse 
(4) The population 2000 data for Serowe and Palapye districts were created by splitting the 2000 Serowe/Palapye figure and distributing it according to the population 1990 proportions. 
(5) Ngwaketse South and Ngwaketse Central were merged, and the population 1990 figures for each one (exact same number) were assumed to be a repeat, so only one set of data was assigned to the merged polygon (Ngwaketse South).  2000 data for Southern district was then split in proportion to the population 1990 data, with South and Central assumed to be one data entry, and assigned to Ngwaketse North and South. Then, 2000 data for Ngwaketse West was added to Ngwaketse North. 
(6) 2000 data for Delta district was added to Ngamiland East district. 
(7) 2000 data for Francistown and North East was added and assigned to Masungu district. 
(8) 2000 data for Central Boteti was assigned to Machaneng 
(9) 2000 data for Orapa was assigned to Lethlakane 
(10) Kweneng South district was renamed Kweneng West, and the population 2000 total was found by adding Kweneng West and Jwaneng 
(11) Kweneng North district was renamed Kweneng East. 
(12) 2000 data for Central Bobonong and Selibe Phikwe was added and assigned to Bobonong district. 
(13) ""Central"" was deleted from any related district names 
(14) 2000 data for Sowa district and CKGR district was not assigned to any districts due to lack of information on location (about 3,500 people).",,67,"194,098","1,057","14,505.93","Agglomerations of 5,000 inhabitants or more where 75 per cent of the economic activity is non-agricultural.",28,392,16,74.50,"2,086","136,095","5,505","21,887.39","612,847",0.37,38.52,49.40,14,14,0,0,"1991 Botswana National Census, Central Statistics Office, Republic of Botswana: http://www.cso.gov.bw/cso/; City Population, http://www.citypopulation.de; Statistical Yearbook for Botswana:, Central Statistics Office, Republic of Botswana: http://www.cso.gov.bw/cso/",AFCities; Getty; NIMA; Times Atlas of the World 1999; World Gazetteer
Central African Republic,CAF,Africa,1,124,12405,Middle Africa,CF,140,111,69,"622,868",2,Prefecture,Sous-Prefecture,,,,51, ,1988,"2,804","3,187","3,540","2,945","3,347","3,717",4.79,4.78,"UNEP/GRID-WRI-NCGIA Africa Population Database, http://grid2.cr.usgs.gov .","1988 census figures, National Statistical Office, digital file.",,"Population data were projected to the target years 1990, 1995, and 2000 using growth rates derived from United Nations national level estimates and projections.",37,"648,782","6,063","38,243.27","Twenty principal centres with a population of over 3,000 each.",31,249,3,41.55,"1,288","695,677","5,937","45,222.84","1,401,908",0.21,39.61,41.70,2,25,4,0,"Recensement General de la Population de December 1988 Central African Republic, Census Bureau",AFCities; NIMA; Times Atlas of the World 1999; World Gazetteer
Ivory Coast,CIV,Africa,1,169,16905,Western Africa,CI,384,42,89,"320,329",3,Region,Departement,Sous-Prefecture,,,185,1988,1998,"11,446","13,676","16,487","12,582","14,385","16,013",9.03,-2.96,"UNEP/GRID-WRI-NCGIA Africa Population Database, http://grid2.cr.usgs.gov .","1998 Population Census: Premiers resultats définitifs du RGPH-98 / Institut national de la statistique. Recensement général de la population et de l'habitat 1998. Abidjan--République de Côte d'Ivoire, Institut National de la Statistique, Bureau Technique du Recensement.   The 1990 population figure is based on the OECD/Club du Sahel West Africa Long Term Perspective Study (WALTPS), and was estimated by Benoit Ninnin, based on these sources:  Etude d'une Image - Long Terme de l'Afrique; Atlas Jeune Afrique; Republique de la Cote d'Ivoire: Ministere du Plan et de la Comptabilite Nationale: Recensement general de la population et de l'habitat, 1988: a: Resultats provisoires par localite. b: Exploitation et comparaison 1965/1975/1988; Seminaire national de presentation des resultats du RGPH, 1988.","The 1998 census included 8 new department (administative 2 level) units-- all 8 were previously considered sous-prefectures (administrative 3 level).  These are: Alepe, Dabou, Jacqueville, Tiebissou, Bocanda, Adiake, Grand-Bassam, and Toulepleu.  New spatial data were not available to match these changes therefore the population of these units were redistributed into their respective parent department units (administrative level 2).","The 1998 census data was obtained for administrative level 2.  This data is coarser than the 1988 census data which was obtained for administrative level 3.  Thus, an administrative level 2 population growth rate was calculated for the period 1990–1998 and applied to the 1990 administrative level 3 units to extrapolate the population of these areas to 1995 and 2000.",76,"3,099,196","1,555","89,946.36","Urban agglomerations containing more than 10,000 inhabitants; agglomerations with populations ranging from 4,000 to 10,000 persons with more than 50 per cent of the households en_gaged in non-agricultural activities; and the admin_istrative centres of Grand Lahoun and Dabakala. Excludes the milieu urbain of Bouna, which has a population of 11,000.",67,661,2,51.84,"3,473","3,029,364","5,979","99,156.99","6,643,518",1.08,40.30,44.00,46,19,2,0,"AFCities (provided by Uwe Deichman, World Bank)",AFCities; NIMA
Cameroon,CMR,Africa,1,108,10805,Middle Africa,CM,120,97,321,"465,765",2,Province,Department,,,,49,,1987,"11,481","13,394","15,753","11,614","13,273","14,876",1.15,-5.89,"UNEP/GRID-WRI-NCGIA Africa Population Database, http://grid2.cr.usgs.gov .","The 1990 population figure is based on the OECD/Club du Sahel West Africa Long Term Perspective Study (WALTPS), and was estimated by Benoit Ninnin, based on these sources Republique du Cameroun: Demo 87: 7 millions et demi en 1976, 10 millions et demi en 1987; and Republique du Cameroun: Demo 87: Vol. III, Tome1et Analyse preliminaire: Evaluation des donnees: repartition par sexe et par age de la population.",,"Population data were extrapolated to the target years of 1990, 1995 and 2000 using growth rates derived from United Nations national level estimates and projections.",166,"1,512,379","1,038","42,558.47",Urban centres.,101,384,3,40.52,"4,092","1,753,849","5,048","62,907.20","6,353,627",0.88,40.33,49.70,15,83,3,0,"Recensement General de la population et de l'habitat de 1987 de Cameroon: donnees provisiores, Census Bureau, Migration, Urbanization and Development of Cameroon, published by the Institute of the Formation and Research of Demographics by Joseph-Pierre Timnou Tr",Columbia Gazetteer; NIMA; Times Atlas of the World 1999; World Gazetteer
"Congo, Democratic Republic",COD,Africa,1,926,92605,Middle Africa,ZR,180,124,347,"2,313,414",3,Region,Sous-Region,Ville,,,150,1970,1984,"37,841","45,854","52,108","36,999","44,834","50,948",-2.28,-2.28,"GIS database produced by the Universitä Louvain, Belgium and obtained from the Department of Geography, University of Maryland. ","Republique du Zaire (1984), Combien Sommes- Nous, Resultats Provisoires, Institut National de la Statistique, Kinshasa and Republique du Zaire (undated), Zaire Recensement Scientifique de la Population 1984, Totaux Definitifs, Institut National de la Statistique, Kinshasa [ contains pop figures down to cite/col level ] ", ,"Population data were extrapolated to the target years of 1990, 1995 and 2000 using growth rates derived from United Nations national level estimates and projections.",182,"4,593,037","1,987","85,776.80","Places with 2,000 inhabitants or more where the predominant economic activity is non-agricultural; and places with fewer inhabitants which are considered urban because of their type of economic activity (predominantly non-agricultural).",148,575,2,46.36,"6,861","4,892,491","5,102","101,630.02","15,041,243",0.30,28.87,30.70,18,117,13,0,"AFCities (provided by Uwe Deichman, World Bank); World Gazetteer, www.gazetteer.de",AFCities; World Gazetteer
Congo,COG,Africa,1,161,16105,Middle Africa,CG,178,86,65,"343,235",2,Region,District/Commune,,,,46, ,1984,"2,224","2,595","3,009","2,230","2,603","3,018",0.29,0.29,UNEP/GRID-WRI-NCGIA Africa Population Database: http://grid2.cr.usgs.gov . Boundaries digitized from 1:1m IGN map.,"The population figures for 1990 were based on the OECD/Club du Sahel West Africa Long Term Perspective Study (WALTPS), estimated by Benoit Ninnin from these sources: Republique Populaire du Congo, 1987, Annuaire Statistque, Ministere du Plan, Brazzaville [1974 data]; and Republique Populaire du Congo, 1987, Recensement General de la Population et de l'Habitat de 1984, Vol. 3: Resultats Definitifs, Tome I: Ensemble du Pays, Direction des Statistiques Demographiques et Sociales, Brazzaville.",,"District level data were available for 1974, but only province level data could be obtained for 1984. Province level growth rates were originally used for interpolation, except for communes (6 major cities) for which data was available for 1974 and 1984, for Brazzaville and Pointe Noire also for 1960 from UNSTAT. These cities were treated explicitly, while the residual population in the corresponding district was interpolated using aggregate province growth rates. These data were used to estimate population in 1990 at the district level. Population data were projected to the years 1995 and 2000 using growth rates derived from United Nations national level estimates and projections.
",22,"1,251,376","10,293","118,479.68",Communes of Brazzaville and Pointe-Noire.,21,329,9,56.81,"1,193","885,291","7,027","91,958.14","1,931,121",0.35,64.17,66.10,5,16,0,0,"AFCities (provided by Uwe Deichman, World Bank)",AFCities; NIMA; World Gazetteer
